,year,real_temp,predicted
0,1966,8.599,8.46
1,1967,8.7,8.67
2,1968,8.516,8.36
3,1969,8.595,8.73
4,1970,8.701,8.72
5,1971,8.599,8.71
6,1972,8.5,8.62
7,1973,8.948,8.88
8,1974,8.468,8.83
9,1975,8.745,8.93
10,1976,8.347,8.48
11,1977,8.85,8.61
12,1978,8.693,8.55
13,1979,8.733,8.76
14,1980,8.98,8.43
15,1981,9.166,8.8
16,1982,8.639,8.77
17,1983,9.028,8.76
18,1984,8.692,8.66
19,1985,8.658,8.91
20,1986,8.834,8.85
21,1987,8.994,8.93
22,1988,9.202,8.48
23,1989,8.922,8.6
24,1990,9.234,8.55
25,1991,9.179,8.76
26,1992,8.837,8.43
27,1993,8.867,8.8
28,1994,9.039,8.78
29,1995,9.347,8.77
30,1996,9.039,8.68
31,1997,9.203,8.93
32,1998,9.523,8.88
33,1999,9.285,8.97
34,2000,9.201,8.52
35,2001,9.415,8.65
36,2002,9.57,8.6
37,2003,9.526,8.81
38,2004,9.325,8.48
39,2005,9.701,8.85
40,2006,9.532,8.82
41,2007,9.732,8.81
42,2008,9.432,8.72
43,2009,9.505,8.97
44,2010,9.703,8.91
45,2011,9.516,9.0
46,2012,9.507,8.55
47,2013,9.606,8.67
48,2014,9.571,8.62
49,2015,9.831,8.83
