,dates,predicted_value
0,2011-12,6.97
1,2012-1,4.59
2,2012-2,3.92
3,2012-3,4.18
4,2012-4,6.15
5,2012-5,8.83
6,2012-6,12.3
7,2012-7,13.6
8,2012-8,14.74
9,2012-9,13.78
10,2012-10,12.55
11,2012-11,9.63
12,2012-12,6.29
13,2013-1,4.32
14,2013-2,3.16
15,2013-3,3.93
16,2013-4,5.93
17,2013-5,8.46
18,2013-6,12.05
19,2013-7,14.43
20,2013-8,15.21
21,2013-9,14.56
22,2013-10,12.73
23,2013-11,9.97
24,2013-12,6.48
25,2014-1,4.14
26,2014-2,3.61
27,2014-3,4.55
28,2014-4,6.13
29,2014-5,9.21
30,2014-6,11.51
31,2014-7,13.88
32,2014-8,14.45
33,2014-9,14.49
34,2014-10,12.44
35,2014-11,10.18
36,2014-12,6.35
37,2015-1,4.13
38,2015-2,3.26
39,2015-3,3.82
40,2015-4,6.0
41,2015-5,8.23
42,2015-6,10.83
43,2015-7,13.92
44,2015-8,14.03
45,2015-9,14.24
46,2015-10,12.61
47,2015-11,9.61
48,2015-12,6.51
49,2016-1,3.65
50,2016-2,3.31
51,2016-3,3.76
52,2016-4,5.93
53,2016-5,8.36
54,2016-6,11.4
55,2016-7,14.19
56,2016-8,15.29
57,2016-9,14.52
58,2016-10,12.83
59,2016-11,9.74
60,2016-12,6.37
61,2017-1,3.95
62,2017-2,3.2
63,2017-3,3.58
64,2017-4,5.87
65,2017-5,8.28
66,2017-6,11.35
67,2017-7,14.0
68,2017-8,15.42
69,2017-9,13.99
70,2017-10,12.54
71,2017-11,9.67
72,2017-12,6.84
73,2018-1,4.54
74,2018-2,3.12
75,2018-3,4.19
76,2018-4,6.14
77,2018-5,8.4
78,2018-6,12.07
79,2018-7,14.3
80,2018-8,14.69
81,2018-9,14.67
82,2018-10,12.92
83,2018-11,9.99
84,2018-12,7.0
85,2019-1,4.43
86,2019-2,3.76
87,2019-3,4.42
88,2019-4,6.52
89,2019-5,8.63
90,2019-6,11.93
91,2019-7,13.54
92,2019-8,14.88
93,2019-9,14.52
94,2019-10,12.61
95,2019-11,9.41
96,2019-12,6.34
97,2020-1,4.24
98,2020-2,3.33
99,2020-3,4.13
100,2020-4,6.29
101,2020-5,8.5
102,2020-6,11.98
103,2020-7,14.06
104,2020-8,14.89
105,2020-9,15.45
106,2020-10,13.09
107,2020-11,9.95
108,2020-12,6.78
