,dt,realValue,predicted
0,2011-11-01,6.814,6.97
1,2011-12-01,4.654999999999999,4.59
2,2012-01-01,3.157,3.92
3,2012-02-01,3.628,4.18
4,2012-03-01,6.023,6.15
5,2012-04-01,9.675999999999998,8.83
6,2012-05-01,12.59,12.3
7,2012-06-01,14.492,13.6
8,2012-07-01,15.076,14.74
9,2012-08-01,14.72,13.78
10,2012-09-01,13.04,12.55
11,2012-10-01,10.427999999999999,9.63
12,2012-11-01,7.1560000000000015,6.29
13,2012-12-01,4.102,4.32
14,2013-01-01,3.685,3.16
15,2013-02-01,4.2219999999999995,3.93
16,2013-03-01,6.261,5.93
17,2013-04-01,9.044,8.46
18,2013-05-01,12.195,12.05
19,2013-06-01,14.568,14.43
20,2013-07-01,15.003,15.21
21,2013-08-01,14.742,14.56
22,2013-09-01,13.154000000000002,12.73
23,2013-10-01,10.255999999999998,9.97
24,2013-11-01,7.423999999999999,6.48
25,2013-12-01,4.724,4.14
26,2014-01-01,3.732,3.61
27,2014-02-01,3.5,4.55
28,2014-03-01,6.377999999999999,6.13
29,2014-04-01,9.589,9.21
30,2014-05-01,12.582,11.51
31,2014-06-01,14.335,13.88
32,2014-07-01,14.873,14.45
33,2014-08-01,14.875,14.49
34,2014-09-01,13.091,12.44
35,2014-10-01,10.33,10.18
36,2014-11-01,6.712999999999999,6.35
37,2014-12-01,4.85,4.13
38,2015-01-01,3.8810000000000002,3.26
39,2015-02-01,4.664,3.82
40,2015-03-01,6.74,6.0
41,2015-04-01,9.312999999999999,8.23
42,2015-05-01,12.312,10.83
43,2015-06-01,14.505,13.92
44,2015-07-01,15.050999999999998,14.03
45,2015-08-01,14.755,14.24
46,2015-09-01,12.999,12.61
47,2015-10-01,10.800999999999998,9.61
48,2015-11-01,7.433,6.51
49,2015-12-01,5.518,3.65
