dt,AverageTemperature,Country
1787-02-01,1.758,Turkey
1787-03-01,5.665,Turkey
1787-04-01,9.114,Turkey
1787-05-01,15.138,Turkey
1787-06-01,20.516,Turkey
1787-07-01,22.349,Turkey
1787-08-01,23.059,Turkey
1787-09-01,17.189999999999998,Turkey
1787-10-01,12.533,Turkey
1787-11-01,8.495,Turkey
1787-12-01,2.572,Turkey
1788-01-01,-0.399,Turkey
1788-02-01,2.4210000000000003,Turkey
1788-03-01,6.721,Turkey
1788-04-01,10.024,Turkey
1788-05-01,14.459,Turkey
1788-06-01,20.724,Turkey
1788-07-01,25.538,Turkey
1788-08-01,22.402,Turkey
1788-09-01,19.221,Turkey
1788-10-01,13.798,Turkey
1788-11-01,7.870999999999999,Turkey
1788-12-01,-1.9839999999999995,Turkey
1789-01-01,1.452,Turkey
1789-02-01,1.097,Turkey
1789-03-01,3.978,Turkey
1789-04-01,9.803,Turkey
1789-05-01,16.724,Turkey
1789-06-01,19.255000000000006,Turkey
1789-07-01,24.029,Turkey
1789-08-01,22.66200000000001,Turkey
1789-09-01,19.468,Turkey
1789-10-01,12.464,Turkey
1789-11-01,8.206999999999999,Turkey
1789-12-01,2.573,Turkey
1790-01-01,0.45,Turkey
1790-02-01,2.228,Turkey
1790-03-01,4.832,Turkey
1790-04-01,7.940000000000001,Turkey
1790-05-01,14.454,Turkey
1790-06-01,20.833000000000002,Turkey
1790-07-01,22.158,Turkey
1790-08-01,22.770000000000003,Turkey
1790-09-01,18.519,Turkey
1790-10-01,13.137,Turkey
1790-11-01,7.447999999999999,Turkey
1790-12-01,4.177,Turkey
1791-01-01,2.373,Turkey
1791-02-01,2.617,Turkey
1791-03-01,6.065,Turkey
1791-04-01,10.844000000000001,Turkey
1791-05-01,14.35,Turkey
1791-06-01,19.528,Turkey
1791-07-01,22.03,Turkey
1791-08-01,23.13900000000001,Turkey
1791-09-01,17.991,Turkey
1791-10-01,12.535,Turkey
1791-11-01,9.016,Turkey
1791-12-01,4.063,Turkey
1792-01-01,-0.8340000000000001,Turkey
1792-02-01,2.373,Turkey
1792-03-01,4.955,Turkey
1792-04-01,9.53,Turkey
1792-05-01,15.255,Turkey
1792-06-01,20.566000000000006,Turkey
1792-07-01,22.813,Turkey
1792-08-01,21.331000000000003,Turkey
1792-09-01,19.886,Turkey
1792-10-01,12.144,Turkey
1792-11-01,6.8629999999999995,Turkey
1792-12-01,2.928,Turkey
1793-01-01,-1.534,Turkey
1793-02-01,3.385,Turkey
1793-03-01,4.583,Turkey
1793-04-01,9.601,Turkey
1793-05-01,14.572,Turkey
1793-06-01,19.283,Turkey
1793-07-01,22.831,Turkey
1793-08-01,22.00800000000001,Turkey
1793-09-01,19.229,Turkey
1793-10-01,12.813,Turkey
1793-11-01,7.789999999999999,Turkey
1793-12-01,2.127,Turkey
1794-01-01,2.2830000000000004,Turkey
1794-02-01,2.2640000000000002,Turkey
1794-03-01,5.747000000000001,Turkey
1794-04-01,11.603000000000002,Turkey
1794-05-01,16.823,Turkey
1794-06-01,18.746,Turkey
1794-07-01,21.849,Turkey
1794-08-01,22.222,Turkey
1794-09-01,18.539,Turkey
1794-10-01,13.155,Turkey
1794-11-01,7.170999999999999,Turkey
1794-12-01,1.7830000000000001,Turkey
1795-01-01,-0.3300000000000001,Turkey
1795-02-01,3.305,Turkey
1795-03-01,6.733,Turkey
1795-04-01,11.170000000000002,Turkey
1795-05-01,15.363,Turkey
1795-06-01,20.041,Turkey
1795-07-01,22.622,Turkey
1795-08-01,22.205,Turkey
1795-09-01,17.656,Turkey
1795-10-01,13.027000000000001,Turkey
1795-11-01,6.9910000000000005,Turkey
1795-12-01,2.902,Turkey
1796-01-01,1.909,Turkey
1796-02-01,1.6900000000000002,Turkey
1796-03-01,3.082,Turkey
1796-04-01,8.735000000000001,Turkey
1796-05-01,15.512,Turkey
1796-06-01,20.401,Turkey
1796-07-01,23.074,Turkey
1796-08-01,23.71,Turkey
1796-09-01,19.368,Turkey
1796-10-01,13.867,Turkey
1796-11-01,7.504,Turkey
1796-12-01,1.1590000000000005,Turkey
1797-01-01,2.6580000000000004,Turkey
1797-02-01,3.999,Turkey
1797-03-01,3.968,Turkey
1797-04-01,9.476,Turkey
1797-05-01,15.318,Turkey
1797-06-01,20.858,Turkey
1797-07-01,22.716,Turkey
1797-08-01,23.26100000000001,Turkey
1797-09-01,19.777,Turkey
1797-10-01,13.93,Turkey
1797-11-01,6.539,Turkey
1797-12-01,2.989,Turkey
1798-01-01,1.509,Turkey
1798-02-01,2.35,Turkey
1798-03-01,7.286,Turkey
1798-04-01,10.225,Turkey
1798-05-01,15.245999999999999,Turkey
1798-06-01,19.496,Turkey
1798-07-01,23.595,Turkey
1798-08-01,23.789,Turkey
1798-09-01,19.398,Turkey
1798-10-01,12.575,Turkey
1798-11-01,7.9819999999999975,Turkey
1798-12-01,0.8239999999999998,Turkey
1799-01-01,-1.264,Turkey
1799-02-01,-0.5899999999999999,Turkey
1799-03-01,4.214,Turkey
1799-04-01,11.153,Turkey
1799-05-01,15.662,Turkey
1799-06-01,20.1,Turkey
1799-07-01,23.357,Turkey
1799-08-01,23.433000000000003,Turkey
