,dt,AverageTemperature,Country
120,1787-02-01,1.758,Turkey
121,1787-03-01,5.665,Turkey
122,1787-04-01,9.113999999999999,Turkey
123,1787-05-01,15.138,Turkey
124,1787-06-01,20.516,Turkey
125,1787-07-01,22.349,Turkey
126,1787-08-01,23.059,Turkey
127,1787-09-01,17.189999999999998,Turkey
128,1787-10-01,12.533,Turkey
129,1787-11-01,8.495,Turkey
130,1787-12-01,2.572,Turkey
131,1788-01-01,-0.39899999999999997,Turkey
132,1788-02-01,2.4210000000000003,Turkey
133,1788-03-01,6.721,Turkey
134,1788-04-01,10.024,Turkey
135,1788-05-01,14.459000000000001,Turkey
136,1788-06-01,20.724,Turkey
137,1788-07-01,25.538,Turkey
138,1788-08-01,22.401999999999997,Turkey
139,1788-09-01,19.221,Turkey
140,1788-10-01,13.798,Turkey
141,1788-11-01,7.870999999999999,Turkey
142,1788-12-01,-1.9839999999999995,Turkey
143,1789-01-01,1.452,Turkey
144,1789-02-01,1.097,Turkey
145,1789-03-01,3.978,Turkey
146,1789-04-01,9.802999999999999,Turkey
147,1789-05-01,16.724,Turkey
148,1789-06-01,19.255000000000006,Turkey
149,1789-07-01,24.029,Turkey
150,1789-08-01,22.662000000000006,Turkey
151,1789-09-01,19.468,Turkey
152,1789-10-01,12.464,Turkey
153,1789-11-01,8.206999999999999,Turkey
154,1789-12-01,2.573,Turkey
155,1790-01-01,0.45,Turkey
156,1790-02-01,2.228,Turkey
157,1790-03-01,4.832,Turkey
158,1790-04-01,7.940000000000001,Turkey
159,1790-05-01,14.454,Turkey
160,1790-06-01,20.833,Turkey
161,1790-07-01,22.158,Turkey
162,1790-08-01,22.770000000000003,Turkey
163,1790-09-01,18.519000000000002,Turkey
164,1790-10-01,13.137,Turkey
165,1790-11-01,7.447999999999999,Turkey
166,1790-12-01,4.177,Turkey
167,1791-01-01,2.373,Turkey
168,1791-02-01,2.617,Turkey
169,1791-03-01,6.065,Turkey
170,1791-04-01,10.844,Turkey
171,1791-05-01,14.35,Turkey
172,1791-06-01,19.528,Turkey
173,1791-07-01,22.03,Turkey
174,1791-08-01,23.139000000000006,Turkey
175,1791-09-01,17.991,Turkey
176,1791-10-01,12.535,Turkey
177,1791-11-01,9.016,Turkey
178,1791-12-01,4.063,Turkey
179,1792-01-01,-0.8340000000000001,Turkey
180,1792-02-01,2.373,Turkey
181,1792-03-01,4.955,Turkey
182,1792-04-01,9.53,Turkey
183,1792-05-01,15.255,Turkey
184,1792-06-01,20.566000000000006,Turkey
185,1792-07-01,22.813000000000002,Turkey
186,1792-08-01,21.331000000000003,Turkey
187,1792-09-01,19.886,Turkey
188,1792-10-01,12.144,Turkey
189,1792-11-01,6.863,Turkey
190,1792-12-01,2.928,Turkey
191,1793-01-01,-1.534,Turkey
192,1793-02-01,3.385,Turkey
193,1793-03-01,4.583,Turkey
194,1793-04-01,9.601,Turkey
195,1793-05-01,14.572000000000001,Turkey
196,1793-06-01,19.283,Turkey
197,1793-07-01,22.831,Turkey
198,1793-08-01,22.008000000000006,Turkey
199,1793-09-01,19.229,Turkey
200,1793-10-01,12.812999999999999,Turkey
201,1793-11-01,7.789999999999999,Turkey
202,1793-12-01,2.127,Turkey
203,1794-01-01,2.2830000000000004,Turkey
204,1794-02-01,2.264,Turkey
205,1794-03-01,5.747000000000001,Turkey
206,1794-04-01,11.603000000000002,Turkey
207,1794-05-01,16.823,Turkey
208,1794-06-01,18.746,Turkey
209,1794-07-01,21.849,Turkey
210,1794-08-01,22.221999999999998,Turkey
211,1794-09-01,18.539,Turkey
212,1794-10-01,13.155,Turkey
213,1794-11-01,7.1709999999999985,Turkey
214,1794-12-01,1.783,Turkey
215,1795-01-01,-0.3300000000000001,Turkey
216,1795-02-01,3.305,Turkey
217,1795-03-01,6.733,Turkey
218,1795-04-01,11.170000000000002,Turkey
219,1795-05-01,15.363,Turkey
220,1795-06-01,20.041,Turkey
221,1795-07-01,22.622,Turkey
222,1795-08-01,22.205,Turkey
223,1795-09-01,17.656,Turkey
224,1795-10-01,13.027,Turkey
225,1795-11-01,6.9910000000000005,Turkey
