,dates,predicted_value
0,2010-01,3.47
1,2010-2,3.39
2,2010-3,5.55
3,2010-4,11.47
4,2010-5,15.88
5,2010-6,19.24
6,2010-7,23.01
7,2010-8,22.23
8,2010-9,18.15
9,2010-10,13.07
10,2010-11,7.93
11,2010-12,4.78
12,2011-1,1.5
13,2011-2,0.92
14,2011-3,5.71
15,2011-4,11.26
16,2011-5,16.92
17,2011-6,22.35
18,2011-7,24.87
19,2011-8,24.64
20,2011-9,18.31
21,2011-10,11.19
22,2011-11,7.89
23,2011-12,3.65
24,2012-1,1.35
25,2012-2,2.82
26,2012-3,7.34
27,2012-4,8.63
28,2012-5,18.79
29,2012-6,21.94
30,2012-7,21.99
31,2012-8,21.58
32,2012-9,19.4
33,2012-10,13.06
34,2012-11,7.07
35,2012-12,1.59
36,2013-1,0.59
37,2013-2,2.71
38,2013-3,5.06
39,2013-4,8.34
40,2013-5,15.57
41,2013-6,18.64
42,2013-7,22.87
43,2013-8,22.77
44,2013-9,19.66
45,2013-10,13.81
46,2013-11,6.53
47,2013-12,3.01
48,2014-1,0.15
49,2014-2,1.75
50,2014-3,4.11
51,2014-4,10.6
52,2014-5,16.7
53,2014-6,23.27
54,2014-7,25.39
55,2014-8,23.79
56,2014-9,17.79
57,2014-10,13.41
58,2014-11,7.3
59,2014-12,2.95
60,2015-1,-0.83
61,2015-2,3.13
62,2015-3,5.76
63,2015-4,10.25
64,2015-5,13.42
65,2015-6,23.03
66,2015-7,21.31
67,2015-8,21.07
68,2015-9,20.12
69,2015-10,15.04
70,2015-11,7.75
71,2015-12,2.01
72,2016-1,2.71
73,2016-2,1.89
74,2016-3,3.19
75,2016-4,12.11
76,2016-5,15.72
77,2016-6,22.45
78,2016-7,25.11
79,2016-8,23.48
80,2016-9,20.94
81,2016-10,11.25
82,2016-11,7.2
83,2016-12,4.07
84,2017-1,3.11
85,2017-2,3.59
86,2017-3,4.86
87,2017-4,7.64
88,2017-5,14.35
89,2017-6,21.88
90,2017-7,25.66
91,2017-8,18.85
92,2017-9,17.32
93,2017-10,13.27
94,2017-11,7.49
95,2017-12,3.97
96,2018-1,0.83
97,2018-2,2.36
98,2018-3,3.89
99,2018-4,9.41
100,2018-5,15.35
101,2018-6,20.82
102,2018-7,23.77
103,2018-8,22.08
104,2018-9,18.84
105,2018-10,13.36
106,2018-11,7.18
107,2018-12,3.97
108,2019-1,1.68
109,2019-2,1.83
110,2019-3,4.42
111,2019-4,6.67
112,2019-5,15.76
113,2019-6,17.69
114,2019-7,22.52
115,2019-8,25.16
116,2019-9,23.2
117,2019-10,13.95
118,2019-11,7.56
119,2019-12,4.0
