,dt,predicted
0,2010-01-01,3.47
1,2010-02-01,3.39
2,2010-03-01,5.55
3,2010-04-01,11.47
4,2010-05-01,15.88
5,2010-06-01,19.24
6,2010-07-01,23.01
7,2010-08-01,22.23
8,2010-09-01,18.15
9,2010-10-01,13.07
10,2010-11-01,7.93
11,2010-12-01,4.78
12,2011-01-01,1.5
13,2011-02-01,0.92
14,2011-03-01,5.71
15,2011-04-01,11.26
16,2011-05-01,16.92
17,2011-06-01,22.35
18,2011-07-01,24.87
19,2011-08-01,24.64
20,2011-09-01,18.31
21,2011-10-01,11.19
22,2011-11-01,7.89
23,2011-12-01,3.65
24,2012-01-01,1.35
25,2012-02-01,2.82
26,2012-03-01,7.34
27,2012-04-01,8.63
28,2012-05-01,18.79
29,2012-06-01,21.94
30,2012-07-01,21.99
31,2012-08-01,21.58
32,2012-09-01,19.4
33,2012-10-01,13.06
34,2012-11-01,7.07
35,2012-12-01,1.59
